datetime,open,high,low,close,trend_identified,event
2025-04-02 15:37:59,564.32,564.35,564.32,564.345,1.0,
2025-04-02 15:38:00,564.3494,564.38,564.1428,564.1428,1.0,
2025-04-02 15:38:01,564.3587,564.41,564.33,564.41,1.0,
2025-04-02 15:38:02,564.395,564.44,564.395,564.44,1.0,
2025-04-02 15:38:03,564.43,564.4502,564.43,564.4399,1.0,
2025-04-02 15:38:04,564.385,564.405,564.35,564.35,1.0,
2025-04-02 15:38:05,564.3789,564.3789,564.3789,564.3789,1.0,
2025-04-02 15:38:06,564.36,564.39,564.1485,564.3899,1.0,
2025-04-02 15:38:07,564.39,564.39,564.33,564.345,1.0,
2025-04-02 15:38:08,564.36,564.41,564.36,564.41,1.0,
2025-04-02 15:38:09,564.4,564.47,564.3701,564.47,1.0,
2025-04-02 15:38:10,564.484,564.5101,564.2318,564.51,1.0,
2025-04-02 15:38:11,564.4903,564.5002,564.49,564.49,1.0,
2025-04-02 15:38:12,564.5,564.505,564.49,564.5,1.0,
2025-04-02 15:38:13,564.495,564.495,564.47,564.48,1.0,
2025-04-02 15:38:14,564.46,564.46,564.44,564.4451,1.0,
2025-04-02 15:38:15,564.455,564.455,564.43,564.43,1.0,
2025-04-02 15:38:16,564.44,564.45,564.175,564.43,1.0,
2025-04-02 15:38:17,564.4201,564.4201,564.38,564.38,1.0,
2025-04-02 15:38:18,564.37,564.38,564.35,564.365,1.0,
2025-04-02 15:38:19,564.36,564.37,564.36,564.36,1.0,
2025-04-02 15:38:20,564.36,564.4069,564.34,564.38,1.0,
2025-04-02 15:38:21,564.37,564.39,564.36,564.3731,1.0,
2025-04-02 15:38:22,564.37,564.3788,564.35,564.36,1.0,
2025-04-02 15:38:23,564.37,564.39,564.36,564.36,1.0,
2025-04-02 15:38:24,564.35,564.365,564.34,564.34,1.0,
2025-04-02 15:38:25,564.345,564.3798,564.345,564.36,1.0,
2025-04-02 15:38:26,564.36,564.3788,564.36,564.3788,1.0,
2025-04-02 15:38:27,564.37,564.47,564.37,564.47,1.0,
2025-04-02 15:38:28,564.47,564.47,564.43,564.46,1.0,
2025-04-02 15:38:29,564.45,564.4578,564.44,564.4401,1.0,
2025-04-02 15:38:30,564.44,564.4598,564.2308,564.2308,1.0,
2025-04-02 15:38:31,564.47,564.47,564.47,564.47,1.0,
2025-04-02 15:38:32,564.45,564.49,564.45,564.49,1.0,
2025-04-02 15:38:33,564.4885,564.5,564.481,564.49,1.0,
2025-04-02 15:38:34,564.3982,564.5091,564.3982,564.45,1.0,
2025-04-02 15:38:35,564.44,564.4587,564.44,564.455,1.0,
2025-04-02 15:38:36,564.455,564.47,564.45,564.46,1.0,
2025-04-02 15:38:37,564.45,564.45,564.43,564.43,1.0,
2025-04-02 15:38:38,564.44,564.44,564.43,564.43,1.0,
2025-04-02 15:38:39,564.46,564.4899,564.459,564.47,1.0,
2025-04-02 15:38:40,564.47,564.48,564.37635,564.4699,1.0,
2025-04-02 15:38:41,564.47,564.47,564.44,564.45,1.0,
2025-04-02 15:38:42,564.46,564.48,564.46,564.4705,1.0,
2025-04-02 15:38:43,564.4799,564.4799,564.45,564.45,1.0,
2025-04-02 15:38:44,564.4583,564.4583,564.45,564.45,1.0,
2025-04-02 15:38:45,564.44,564.44,564.42,564.425,1.0,
2025-04-02 15:38:46,564.41,564.439,564.37,564.39,1.0,
2025-04-02 15:38:47,564.39,564.41,564.39,564.39,1.0,
2025-04-02 15:38:48,564.38,564.3897,564.3,564.3,1.0,
2025-04-02 15:38:49,564.3008,564.31,564.28,564.31,1.0,
2025-04-02 15:38:50,564.32,564.33,564.278042,564.3101,1.0,
2025-04-02 15:38:51,564.33,564.33,564.29,564.29,1.0,
2025-04-02 15:38:52,564.2901,564.2901,564.235,564.235,1.0,
2025-04-02 15:38:53,564.24,564.241,564.2,564.2385,1.0,
2025-04-02 15:38:54,564.24,564.28,564.24,564.265,1.0,
2025-04-02 15:38:55,564.26,564.3528,564.2464,564.26,1.0,
2025-04-02 15:38:56,564.24,564.265,564.24,564.26,1.0,
2025-04-02 15:38:57,564.235,564.24,564.21,564.225,1.0,
2025-04-02 15:38:58,564.225,564.24,564.225,564.225,1.0,
2025-04-02 15:38:59,564.225,564.24,564.21,564.22,1.0,
2025-04-02 15:39:00,564.2112,564.2462,564.15,564.19,1.0,
2025-04-02 15:39:01,564.17,564.2465,564.17,564.24,1.0,
2025-04-02 15:39:02,564.23,564.28,564.213,564.28,1.0,
2025-04-02 15:39:03,564.2739,564.3882,564.245,564.255,1.0,
2025-04-02 15:39:04,564.267,564.267,564.21,564.25,1.0,
2025-04-02 15:39:05,564.26,564.26,564.245,564.245,1.0,
2025-04-02 15:39:06,564.25,564.27,564.23,564.2493,1.0,
2025-04-02 15:39:07,564.25,564.27,564.24,564.26,1.0,
2025-04-02 15:39:08,564.25,564.25,563.7153,564.22,1.0,
2025-04-02 15:39:09,564.23,564.29,564.23,564.28,1.0,
2025-04-02 15:39:10,564.29,564.3,564.26,564.27,1.0,
2025-04-02 15:39:11,564.25,564.25,564.22,564.22,1.0,
2025-04-02 15:39:12,564.215,564.23,564.2,564.2105,1.0,
2025-04-02 15:39:13,564.21,564.21,564.13,564.1323,1.0,
2025-04-02 15:39:14,564.15,564.19,564.15,564.15,1.0,
2025-04-02 15:39:15,564.18,564.2,564.17,564.1802,1.0,
2025-04-02 15:39:16,564.18,564.18,564.13,564.135,1.0,
2025-04-02 15:39:17,564.13,564.14,564.125,564.14,1.0,
2025-04-02 15:39:18,564.14,564.15,564.14,564.145,1.0,
2025-04-02 15:39:19,564.1325,564.16,564.11,564.15,1.0,
2025-04-02 15:39:20,564.15,564.225,564.127554,564.2201,1.0,
2025-04-02 15:39:21,564.23,564.3019,564.1701,564.3019,1.0,
2025-04-02 15:39:22,564.18,564.19,564.155,564.1625,1.0,
2025-04-02 15:39:23,564.16,564.16,564.14,564.14,1.0,
2025-04-02 15:39:24,564.15,564.15,564.13,564.145,1.0,
2025-04-02 15:39:25,564.12,564.153414,564.075,564.08,1.0,
2025-04-02 15:39:26,564.08,564.125,564.06,564.125,,
2025-04-02 15:39:27,564.16,564.3425,564.1543,564.1825,,
2025-04-02 15:39:28,564.175,564.2,564.15,564.1812,1.0,
